token,frequency
છે,63121
અને,28560
આ,18297
કે,16249
પણ,13069
માટે,12937
એક,9992
કરી,9810
પર,9666
તે,8498
જ,8402
સાથે,8319
હતી,8266
તો,6211
હતો,5772
હતા,5487
નથી,5160
આવી,5042
કરવામાં,4987
જે,4828
હતું,4734
હોય,4434
એ,4164
દ્વારા,4120
વધુ,3379
થઈ,3375
આવે,3358
શકે,3301
કરવા,3146
પરંતુ,3138
રીતે,3039
તમે,3003
જો,2810
સુધી,2789
રહી,2746
ન,2721
કરે,2710
ત્યારે,2654
બાદ,2645
પછી,2604
કોઈ,2583
થાય,2560
કહ્યું,2509
રહ્યા,2470
લોકો,2460
તેના,2396
જ્યારે,2328
બે,2325
કારણે,2283
તેની,2178
સામે,2173
હવે,2159
ના,2136
અથવા,2089
તેને,2081
નહીં,2051
મળી,1997
પોલીસ,1996
તેઓ,1952
કર્યો,1929
આજે,1886
છો,1824
આવ્યા,1788
કામ,1746
તેમના,1745
આવ્યો,1744
જેમાં,1738
કરતા,1682
માં,1669
તમારા,1661
કોરોના,1652
કરીને,1644
તેમણે,1639
તથા,1608
આપી,1608
શરૂ,1601
અન્ય,1593
જણાવ્યું,1585
સૌથી,1567
કરો,1564
થઇ,1552
પોતાના,1551
તમામ,1547
વાત,1536
દરમિયાન,1530
તેમજ,1489
ગયા,1489
તરીકે,1483
પાસે,1445
જોવા,1444
રહ્યો,1435
જોઈએ,1389
આવશે,1386
ખૂબ,1367
શું,1362
વર્ષ,1345
થશે,1332
આવ્યું,1323
થયો,1317
માત્ર,1316
સમય,1311
ઉપયોગ,1297
તેમને,1292
ને,1292
થયા,1290
વચ્ચે,1288
કર્યું,1285
જાય,1270
ઉપર,1269
તેમની,1259
ની,1244
રહે,1244
ત્રણ,1238
બની,1235
પહેલા,1227
સરકાર,1216
કારણ,1212
કરવાની,1178
આપવામાં,1173
પોતાની,1172
ટકા,1167
તા,1160
ત્યાં,1150
તમને,1141
કેટલાક,1139
દિવસ,1138
થી,1134
અંગે,1126
અમે,1117
હું,1112
કર્યા,1103
પ્રથમ,1098
રહ્યું,1087
શકો,1075
નવા,1073
કેસ,1063
1,1055
રહેશે,1054
તમારી,1049
બહાર,1049
તેમ,1046
ગયો,1046
નવી,1041
મુજબ,1032
દરેક,1032
ભારત,1028
હાથ,1027
પોલીસે,1015
ખાતે,1011
શકાય,1010
ઘણા,1004
સામાન્ય,1004
કરશે,991
એટલે,988
ભારતીય,988
2,983
બંધ,971
ખાસ,971
ગઈ,963
પાણી,963
લોકોને,957
અલગ,956
ઉપરાંત,950
તપાસ,939
કરતાં,935
રોજ,923
જરૂર,914
કુલ,911
વધારે,910
રૂ,907
મોટા,905
મોટી,905
આવેલા,903
ગુજરાત,897
મળે,890
લઈ,887
સમયે,886
